ID,Partei,Titel,Vorname,Nachname,Wahlkreis_ID,Wahlkreis_Name,Jahrgang,Geburtsort,Geburtsort_Location,Beruf,Geschlecht
1,CDU,Dr.,Philipp,Lengsfeld,75,Mitte,1972,Berlin,"52.516074, 13.376987","Physiker, wiss. Mitarbeiter",m
2,CDU,,Lars,Zimmermann,76,Pankow ohne Prenzlauer Berg Ost,1974,Schwerte,"51.440283, 7.566698",Stiftungsvorstand,m
3,CDU,Dr.,Frank,Steffel,77,Reinickendorf,1966,Berlin,"52.516074, 13.376987",Diplom-Kaufmann,m
4,CDU,,Kai,Wegner,78,Spandau und Charlottenburg-Nord,1972,Berlin,"52.516074, 13.376987",Mitglied des Bundestages,m
5,CDU,,Karl-Georg,Wellmann,79,Steglitz-Zehlendorf,1952,Berlin,"52.516074, 13.376987",Rechtsanwalt und Notar,m
6,CDU,,Klaus-Dieter,Gröhler,80,Charlottenburg-Wilmersdorf ohne Charlottenburg-Nord,1966,Berlin,"52.516074, 13.376987","Jurist, Bezirksstadtrat",m
7,CDU,Dr.,Jan-Marco,Luczak,81,Tempelhof-Schöneberg,1975,Berlin,"52.516074, 13.376987","Rechtsanwalt, MdB",m
8,CDU,,Christina,Schwarzer,82,Neukölln,1976,Berlin,"52.516074, 13.376987",Immobilienverwalterin,w
9,CDU,,Götz,Müller,83,Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,1967,Wiesbaden,"50.084592, 8.242302",Beamter,m
10,CDU,,Fritz,Niedergesäß,84,Treptow-Köpenick,1940,Langengrassau,"51.840729, 13.63755",Rentner,m
11,CDU,,Monika,Grütters,85,Marzahn-Hellersdorf,1962,Münster,"48.623685, 10.90317",Stiftungsvorstand,w
12,CDU,,Martin,Pätzold,86,Lichtenberg,1984,"Moskau, Russland","55.75695, 37.614975","Dipl.-Kaufmann, Angestellter",m
13,SPD,Dr.,Eva,Högl,75,Mitte,1969,Osnabrück,"52.27253, 8.04778","Juristin, MdB",w
14,SPD,,Klaus,Mindrup,76,Pankow ohne Prenzlauer Berg Ost,1964,Lienen,"52.14614, 7.97356","Diplom-Biologe, selbständig",m
15,SPD,,Jörg,Stroedter,77,Reinickendorf,1954,Berlin,"52.516074, 13.376987",Diplom-Volkswirt,m
16,SPD,,Swen,Schulz,78,Spandau und Charlottenburg-Nord,1968,Hamburg,"53.553345, 9.992455",Mitglied des Bundestages,m
17,SPD,Dr.,Ute,Finckh-Krämer,79,Steglitz-Zehlendorf,1956,Wiesbaden,"50.084592, 8.242302",Diplom-Mathematikerin,w
18,SPD,,Ülker,Radziwill,80,Charlottenburg-Wilmersdorf ohne Charlottenburg-Nord,1966,"Fethiye, Türkei","36.626955, 29.124335",Touristikfachwirtin,w
19,SPD,,Mechthild,Rawert,81,Tempelhof-Schöneberg,1957,Coesfeld,"51.945638, 7.169656","Diplom-Pädagogin, MdB",w
20,SPD,Dr.,Fritz,Felgentreu,82,Neukölln,1968,Kiel,"54.32324, 10.1322",Lehrer,m
21,SPD,,Cansel,Kiziltepe,83,Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,1975,Berlin,"52.516074, 13.376987",Dipl.-Volkswirtin,w
22,SPD,,Matthias,Schmidt,84,Treptow-Köpenick,1963,"Homberg, Efze","51.03376, 9.406095",Dipl.Verwaltungswirt,m
